index	raw_category	category	count	nyuId	nyu40id	eigen13id	eigen13fixedid	nyuClass	nyu40class	eigen13class	eigen13fixedclass	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	occ_id	occ_class	objnav_occ	objnav_occ_id
20	mirror	mirror	488	122	19	7	7	mirror	mirror	Objects	Objects					n03773035	mirror.n.01	21	mirror	2	occupied	occupied	2
21	towel	towel	437	135	27	7	7	towel	towel	Objects	Objects					n04459362	towel.n.01	20	towel	2	occupied	occupied	2
22	sink	sink	417	24	34	7	7	sink	sink	Objects	Objects	sink				n04223580	sink.n.01	15	sink	2	occupied	occupied	2
23	shelf	shelf	417	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
24	couch	couch	290	83	6	9	9	sofa	sofa	Sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01	10	sofa	2	occupied	sofa	8
25	dining chair	dining chair	277	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
26	bed	bed	270	157	4	1	1	bed	bed	Bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01	11	bed	2	occupied	bed	4
27	nightstand	nightstand	275	158	32	6	6	night stand	night stand	Furniture	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	13	chest_of_drawers	2	occupied	occupied	2
28	toilet	toilet	268	124	33	7	7	toilet	toilet	Objects	Objects	toilet	toilet			n04446276	toilet.n.01	18	toilet	2	occupied	toilet	6
29	sofa chair	sofa chair	262	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
30	column	pillar	243	94	38	7	7	column	otherstructure	Objects	Objects					n03073977	column.n.07	24	column	2	occupied	occupied	2
31	handrail	handrail	241	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
32	stair	stair	241	215	38	7	7	stairs	otherstructure	Objects	Objects	stairs				n04314914	step.n.04	16	stairs	2	occupied	occupied	2
33	stool	stool	232	150	40	7	7	stool	otherprop	Objects	Objects	stool				n04326896	stool.n.01	19	stool	2	occupied	occupied	2
34	armchair	armchair	224	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n02738535	armchair.n.01	3	chair	2	occupied	chair	3
35	kitchen cabinet	kitchen cabinet	212	3	3	6	6	cabinet	cabinet	Furniture	Furniture					n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
36	vase	vase	205	78	40	7	7	vase	otherprop	Objects	Objects	vase		jar	3593526	n04522168	vase.n.01	39	objects	2	occupied	occupied	2
37	cushion	cushion	204	119	18	7	7	pillow	pillow	Objects	Objects					n03151500	cushion.n.03	8	cushion	2	occupied	occupied	2
38	tv	tv	204	172	25	11	11	television	television	TV	TV			tv or monitor	3211117	n03211117	display.n.06	22	tv_monitor	2	occupied	tv_monitor	7
39	door frame	door frame	190	28	8	12	12	door	door	Wall	Wall	door				n03221720	door.n.01	4	door	2	occupied	occupied	2
40	unknown	unknown	186	20	40	7	0	unknown	otherprop	Objects	Void					n08632096	unknown.n.01	41	unlabeled	0	unoccupied	occupied	2
41	pot	pot	185	16	40	7	7	pot	otherprop	Objects	Objects					n03991062	pot.n.04	39	objects	2	occupied	occupied	2
42	desk	desk	187	36	14	10	10	desk	desk	Table	Table	desk	desk	table	4379243	n03179701	desk.n.01	5	table	2	occupied	occupied	2
43	painting	picture	194	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
44	roof	roof	173	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n04105068	roof.n.01	17	ceiling	1	unoccupied	unoccupied	1
45	box	box	172	26	29	7	7	box	box	Objects	Objects					n02883344	box.n.01	39	objects	2	occupied	occupied	2
46	shower wall	shower wall	168	21	1	12	12	wall	wall	Wall	Wall					n04208936	shower.n.01	23	shower	2	occupied	occupied	2
47	coffee table	coffee table	159	356	39	6	6	coffee table	otherfurniture	Furniture	Furniture	table	table	table	4379243	n03063968	coffee_table.n.01	5	table	2	occupied	occupied	2
48	countertop	countertop	159	7	12	6	6	counter	counter	Furniture	Furniture					n03118245	countertop.n.01	26	counter	2	occupied	occupied	2
49	bench	bench	154	204	39	6	6	bench	otherfurniture	Furniture	Furniture	bench		bench	2828884	n02828884	bench.n.01	34	seating	2	occupied	occupied	2
50	wall frame	picture	142	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
51	trash can	trashcan	131	12	39	6	6	garbage bin	otherfurniture	Furniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01	39	objects	2	occupied	occupied	2
52	fireplace	fireplace	128	372	38	7	7	fireplace	otherstructure	Objects	Objects					n03346455	fireplace.n.01	27	fireplace	2	occupied	occupied	2
53	clothes	clothes	125	141	21	7	7	clothes	clothes	Objects	Objects					n02728440	apparel.n.01	38	clothes	2	occupied	occupied	2
54	pillar	pillar	117	94	38	7	7	column	otherstructure	Objects	Objects					n03073977	column.n.07	24	column	2	occupied	occupied	2
55	bathtub	bathtub	121	136	36	7	7	bathtub	bathtub	Objects	Objects	bathtub	bathtub	tub	2808440	n02808440	bathtub.n.01	25	bathtub	2	occupied	occupied	2
56	ceiling duct	ceiling duct	110	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
57	bath cabinet	bath cabinet	111	3	3	6	6	cabinet	cabinet	Furniture	Furniture			cabinet	2933112	n02933112	cabinet.n.01	7	cabinet	2	occupied	occupied	2
58	book	book	104	1	23	2	2	book	books	Books	Books					n02870526	book.n.11	39	objects	2	occupied	occupied	2
59	beam	beam	101		38	7	7		otherstructure	Objects	Objects					n02815950	beam.n.02	29	beam	2	occupied	occupied	2
60	vent	vent	101	25	38	7	7	air vent	otherstructure	Objects	Objects					n04526241	vent.n.01	40	misc	2	occupied	occupied	2
61	shower floor	shower floor	97	11	2	5	5	floor	floor	Floor	Floor					n04208936	shower.n.01	23	shower	1	unoccupied	occupied	2
62	faucet	faucet	97	9	40	7	7	faucet	otherprop	Objects	Objects			faucet	3325088	n03325088	faucet.n.01	39	objects	2	occupied	occupied	2
63	photo	photo	100	508	40	7	7	photo	otherprop	Objects	Objects					n03925226	photograph.n.01	6	picture	2	occupied	occupied	2
64	delete	remove	90	0	0	0	0	void	void	void	void							0	void	2	occupied	occupied	2
65	toilet paper	toilet paper	90	139	40	7	7	toilet paper	otherprop	Objects	Objects					n15075141	toilet_tissue.n.01	39	objects	2	occupied	occupied	2
66	counter	counter	91	7	12	6	6	counter	counter	Furniture	Furniture	table	table	table	4379243	n03116530	counter.n.01	26	counter	2	occupied	occupied	2
67	fan	fan	85	74	40	7	7	fan	otherprop	Objects	Objects					n03320046	fan.n.01	39	objects	2	occupied	occupied	2
68	step	step	86		38	7	7		otherstructure	Objects	Objects					n04314914	step.n.04	16	stairs	2	occupied	occupied	2
69	table lamp	table lamp	96	144	35	7	7	lamp	lamp	Objects	Objects	lamp		lamp	3636649	n04380533	table_lamp.n.01	28	lighting	2	occupied	occupied	2
70	wall / other room	wall /otherroom	84	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
71	washbasin	washbasin	91	24	34	7	7	sink	sink	Objects	Objects	sink				n04553920	washbasin.n.01	15	sink	2	occupied	occupied	2
72	rail	railing	83	497	38	7	7	railing	otherstructure	Objects	Objects					n04047401	railing.n.01	30	railing	2	occupied	occupied	2
73	side table	table	85	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
74	decor	decoration	79		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
75	shelves	shelving	79	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
76	statue	statue	78	294	40	7	7	sculpture	otherprop	Objects	Objects					n04306847	statue.n.01	39	objects	2	occupied	occupied	2
77	dresser	dresser	79	169	17	6	6	dresser	dresser	Furniture	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers	2	occupied	occupied	2
78	stairs	stair	76	215	38	7	7	stairs	otherstructure	Objects	Objects	stairs				n04314914	step.n.04	16	stairs	2	occupied	occupied	2
79	rug	rug	77	130	40	7	5	rug	floor mat	Objects	Floor					n04118021	rug.n.01	2	floor	1	unoccupied	unoccupied	1
80	ottoman	ottoman	79	359	39	6	6	ottoman	otherfurniture	Furniture	Furniture	stool				n03380724	footstool.n.01	19	stool	2	occupied	occupied	2
81	round table	table	74	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
82	bottle	bottle	101	2	40	7	7	bottle	otherprop	Objects	Objects	bottle		bottle	2876657	n02876657	bottle.n.01	39	objects	2	occupied	occupied	2
83	kitchen counter	kitchen counter	73	7	12	6	6	counter	counter	Furniture	Furniture	table	table	table	4379243	n03116530	counter.n.01	26	counter	2	occupied	occupied	2
84	windowframe	window frame	66	59	9	13	13	window	window	Window	Window					n04589593	window_frame.n.01	9	window	2	occupied	occupied	2
85	office chair	office chair	70	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n04373704	swivel_chair.n.01	3	chair	2	occupied	chair	3
86	frame	frame	66		38	7	7		otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
87	refrigerator	refrigerator	65	17	24	6	6	refridgerator	refridgerator	Furniture	Furniture					n04070727	refrigerator.n.01	37	appliances	2	occupied	occupied	2
88	bookshelf	bookshelf	63	88	10	6	6	bookshelf	bookshelf	Furniture	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01	31	shelving	2	occupied	occupied	2
89	end table	end table	67	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
90	wardrobe	wardrobe	64	772	39	6	6	wardrobe	otherfurniture	Furniture	Furniture	wardrobe				n04550184	wardrobe.n.01	36	furniture	2	occupied	occupied	2
91	toiletry	toiletry	63		40	7	7		otherprop	Objects	Objects					n04447443	toiletry.n.01	39	objects	2	occupied	occupied	2
92	windowsill	window frame	62	59	9	13	13	window	window	Window	Window					n04589593	window_frame.n.01	9	window	2	occupied	occupied	2
93	pipe	pipe	62	41	40	7	7	pipe	otherprop	Objects	Objects					n03944672	pipe.n.02	40	misc	2	occupied	occupied	2
94	monitor	monitor	60	49	40	7	7	monitor	otherprop	Objects	Objects	monitor	monitor	tv or monitor	3211117	n03782190	monitor.n.04	22	tv_monitor	2	occupied	tv_monitor	7
95	stand	stand	62	50	39	6	6	stand	otherfurniture	Furniture	Furniture	table	table	table	4379243	n04301000	stand.n.04	5	table	2	occupied	occupied	2
96	drawers	drawer	60	174	39	6	6	drawer	otherfurniture	Furniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers	2	occupied	occupied	2
97	dining table	dining table	61	19	7	10	10	table	table	Table	Table	table	table	table	4379243	n04379243	table.n.02	5	table	2	occupied	occupied	2
98	container	container	59	140	40	7	7	container	otherprop	Objects	Objects					n03094503	container.n.01	39	objects	2	occupied	occupied	2
99	light switch	light switch	59	301	38	7	7	light switch	otherstructure	Objects	Objects					n04372370	switch.n.01	39	objects	2	occupied	occupied	2
100	skylight	skylight	57	59	9	13	13	window	window	Window	Window					n04232800	skylight.n.01	9	window	2	occupied	occupied	2
101	purse	purse	57	181	40	7	7	purse	otherprop	Objects	Objects					n02774152	bag.n.04	39	objects	2	occupied	occupied	2
102	wall /otherroom	wall /otherroom	55	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
103	sofa	couch	56	83	6	9	9	sofa	sofa	Sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01	10	sofa	2	occupied	sofa	8
104	books	book	53	1	23	2	2	book	books	Books	Books					n02870526	book.n.11	39	objects	2	occupied	occupied	2
105	doorway	doorway	54	609	38	7	7	door way	otherstructure	Objects	Objects	door				n03224032	doorway.n.01	4	door	2	occupied	occupied	2
106	railing	railing	52	497	38	7	7	railing	otherstructure	Objects	Objects					n04047401	railing.n.01	30	railing	2	occupied	occupied	2
107	wainscotting	paneling	52	21	1	12	12	wall	wall	Wall	Wall					n03882611	paneling.n.01	1	wall	2	occupied	occupied	2
108	basket	basket	52	39	40	7	7	basket	otherprop	Objects	Objects			basket	2801938	n02801938	basket.n.01	39	objects	2	occupied	occupied	2
109	closet	closet	50		40	7	7		otherprop	Objects	Objects					n03148324	cupboard.n.01	7	cabinet	2	occupied	occupied	2
110	arch	arch	48		40	7	7		otherprop	Objects	Objects					n02733524	arch.n.04	40	misc	2	occupied	occupied	2
111	chandelier	chandelier	48	342	38	7	7	chandelier	otherstructure	Objects	Objects					n03005285	chandelier.n.01	28	lighting	2	occupied	occupied	2
112	oven	oven	47	238	38	7	7	oven	otherstructure	Objects	Objects					n03862676	oven.n.01	37	appliances	2	occupied	occupied	2
113	clock	clock	47	56	40	7	7	clock	otherprop	Objects	Objects			clock	3046257	n03046257	clock.n.01	39	objects	2	occupied	occupied	2
114	footstool	footstool	48	359	39	6	6	ottoman	otherfurniture	Furniture	Furniture	stool				n03380724	footstool.n.01	19	stool	2	occupied	occupied	2
115	stove	stove	44	242	38	7	7	stove	otherstructure	Objects	Objects			stove	4330267	n04330267	stove.n.02	37	appliances	2	occupied	occupied	2
116	trashcan	trashcan	44	12	39	6	6	garbage bin	otherfurniture	Furniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01	39	objects	2	occupied	occupied	2
117	drawer	drawer	45	174	39	6	6	drawer	otherfurniture	Furniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers	2	occupied	occupied	2
118	bathroom countertop object	object	43		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
119	washing machine	washing machine	43	278	39	6	6	washing machine	otherfurniture	Furniture	Furniture			washing_machine	4554684	n04554684	washer.n.03	37	appliances	2	occupied	occupied	2
120	shower curtain	shower curtain	43	123	28	7	7	shower curtain	shower curtain	Objects	Objects	curtain				n04209239	shower_curtain.n.01	12	curtain	2	occupied	occupied	2
121	rack	rack	41	50	39	6	6	stand	otherfurniture	Furniture	Furniture					n04038440	rack.n.05	31	shelving	2	occupied	occupied	2
122	art	picture	40	64	11	8	8	picture	picture	Picture	Picture					n03931044	picture.n.01	6	picture	2	occupied	occupied	2
123	firealarm	fire alarm	37	338	40	7	7	fire alarm	otherprop	Objects	Objects					n03343737	fire_alarm.n.02	39	objects	2	occupied	occupied	2
124	bin	bin	37	307	40	7	7	bin	otherprop	Objects	Objects					n02839910	bin.n.01	39	objects	2	occupied	occupied	2
125	chest	chest	36	344	39	6	6	chest	otherfurniture	Furniture	Furniture	dresser	dresser					40	misc	2	occupied	occupied	2
126	microwave	microwave	36	13	40	7	7	microwave	otherprop	Objects	Objects			microwave	3761084	n03761084	microwave.n.02	37	appliances	2	occupied	occupied	2
127	blinds	blinds	36	80	13	13	13	blinds	blinds	Window	Window					n04589190	window_blind.n.01	32	blinds	2	occupied	occupied	2
128	bowl	bowl	35	22	40	7	7	bowl	otherprop	Objects	Objects	bowl		bowl	2880940	n02880940	bowl.n.03	39	objects	2	occupied	occupied	2
129	ceiling pipe	ceiling pipe	34	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
130	tree	tree	34	82	40	7	7	plant	otherprop	Objects	Objects	plant				n13104059	tree.n.01	14	plant	2	occupied	plant	5
131	vanity	vanity	34	169	17	6	6	dresser	dresser	Furniture	Furniture	dresser	dresser	table	4379243	n03238586	dressing_table.n.01	5	table	2	occupied	occupied	2
132	ceiling fan	ceiling fan	37	74	40	7	7	fan	otherprop	Objects	Objects					n03320046	fan.n.01	39	objects	2	occupied	occupied	2
133	tissue box	tissue box	34	138	40	7	7	tissue box	otherprop	Objects	Objects					n02883344	box.n.01	39	objects	2	occupied	occupied	2
134	desk chair	desk chair	34	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01	3	chair	2	occupied	chair	3
135	plate	plate	32	233	40	7	7	plate	otherprop	Objects	Objects					n03959485	plate.n.04	39	objects	2	occupied	occupied	2
136	tv stand	tv stand	32	291	39	6	6	tv stand	otherfurniture	Furniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	36	furniture	2	occupied	occupied	2
137	shoes	shoe	32	149	40	7	7	shoe	otherprop	Objects	Objects					n04199027	shoe.n.01	39	objects	2	occupied	occupied	2
138	heater	heater	32	111	39	6	6	heater	otherfurniture	Furniture	Furniture					n03508101	heater.n.01	39	objects	2	occupied	occupied	2
139	bedframe	bedframe	33	157	4	1	1	bed	bed	Bed	Bed					n02822579	bedstead.n.01	11	bed	2	occupied	bed	4
140	headboard	headboard	33	161	39	6	6	headboard	otherfurniture	Furniture	Furniture					n03502200	headboard.n.01	11	bed	2	occupied	bed	4
141	post	post	32	94	38	7	7	column	otherstructure	Objects	Objects					n03988170	post.n.04	24	column	2	occupied	occupied	2
142	swivel chair	swivel chair	31	5	5	4	4	chair	chair	Chair	Chair	chair	chair	chair	3001627	n04373704	swivel_chair.n.01	3	chair	2	occupied	chair	3
143	pedestal	pedestal	31	50	39	6	6	stand	otherfurniture	Furniture	Furniture							40	misc	2	occupied	occupied	2
144	fence	fence	31		38	7	7		otherstructure	Objects	Objects					n03327234	fence.n.01	40	misc	2	occupied	occupied	2
145	ceiling pipes	ceiling pipe	30	4	22	3	3	ceiling	ceiling	Ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	1	unoccupied	unoccupied	1
146	pew	pew	28	204	39	6	6	bench	otherfurniture	Furniture	Furniture	bench		bench	2828884	n03920867	pew.n.01	34	seating	2	occupied	occupied	2
147	decorative object	decoration	28		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
148	bucket	bucket	28	427	40	7	7	bucket	otherprop	Objects	Objects					n02909870	bucket.n.01	39	objects	2	occupied	occupied	2
149	mask	decorative mask	27		40	7	7		otherprop	Objects	Objects					n03169390	decoration.n.01	39	objects	2	occupied	occupied	2
150	candle	candle	27	137	40	7	7	candle	otherprop	Objects	Objects	lamp				n02948072	candle.n.01	39	objects	2	occupied	occupied	2
151	flowerpot	flowerpot	28	146	40	7	7	flower pot	otherprop	Objects	Objects	flower_pot		flower pot	3991062	n03991062	pot.n.04	39	objects	2	occupied	plant	5
152	speaker	speaker	27	54	40	7	7	speaker	otherprop	Objects	Objects			speaker	3691459	n03691459	loudspeaker.n.01	39	objects	2	occupied	occupied	2
153	seat	seat	26	524	39	6	6	furniture	otherfurniture	Furniture	Furniture					n04161981	seat.n.03	34	seating	2	occupied	occupied	2
154	sign	sign	25	208	40	7	7	sign	otherprop	Objects	Objects					n04217882	signboard.n.01	40	misc	2	occupied	occupied	2
155	air conditioner	air conditioner	26	79	38	7	7	air conditioner	otherstructure	Objects	Objects					n02686379	air_conditioner.n.01	39	objects	2	occupied	occupied	2
156	shower curtain rod	shower curtain rod	25		40	7	7		otherprop	Objects	Objects					n04100174	rod.n.01	12	curtain	2	occupied	occupied	2
157	unknown / other room	unknown /otherroom	24	20	40	7	7	unknown	otherprop	Objects	Objects					n08632096	unknown.n.01	41	unlabeled	2	occupied	occupied	2
158	flowers	plant	25	82	40	7	7	plant	otherprop	Objects	Objects	plant				n00017222	plant.n.02	14	plant	2	occupied	plant	5
159	clutter	clutter	24		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
160	pillows	pillow	24	119	18	7	7	pillow	pillow	Objects	Objects			pillow	3938244	n03938244	pillow.n.01	8	cushion	2	occupied	occupied	2
161	plants	plant	24	82	40	7	7	plant	otherprop	Objects	Objects	plant				n00017222	plant.n.02	14	plant	2	occupied	plant	5
162	wall \other room	wall /otherroom	24	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
163	fire extinguisher	fire extinguisher	24	10	40	7	7	fire extinguisher	otherprop	Objects	Objects					n03345837	fire_extinguisher.n.01	39	objects	2	occupied	occupied	2
164	towels	towel	24	135	27	7	7	towel	towel	Objects	Objects					n04459362	towel.n.01	20	towel	2	occupied	occupied	2
165	curtains	curtain	23	89	16	13	13	curtain	curtain	Window	Window	curtain				n03151077	curtain.n.01	12	curtain	2	occupied	occupied	2
166	curtain rod	curtain rod	23	582	38	7	7	curtain rod	otherstructure	Objects	Objects					n04100174	rod.n.01	12	curtain	2	occupied	occupied	2
167	kitchen countertop object	object	23		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
168	mat	mat	23	143	20	5	5	floor mat	floor mat	Floor	Floor					n03727837	mat.n.01	2	floor	1	unoccupied	unoccupied	1
169	flower	plant	23	82	40	7	7	plant	otherprop	Objects	Objects	plant				n00017222	plant.n.02	14	plant	2	occupied	plant	5
170	sculpture	sculpture	23	294	40	7	7	sculpture	otherprop	Objects	Objects					n04157320	sculpture.n.01	39	objects	2	occupied	occupied	2
171	shelving	shelving	22	42	15	6	6	shelves	shelves	Furniture	Furniture					n04190052	shelf.n.01	31	shelving	2	occupied	occupied	2
172	wall/other room	wall /otherroom	22	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
173	knickknack	object	21		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
174	printer	printer	21	66	40	7	7	printer	otherprop	Objects	Objects			printer	4004475	n04004475	printer.n.03	39	objects	2	occupied	occupied	2
175	wall behind	wall /otherroom	21	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
176	telephone	telephone	21	32	40	7	7	telephone	otherprop	Objects	Objects			telephone	4401088	n04401088	telephone.n.01	39	objects	2	occupied	occupied	2
177	bedside table	nightstand	21	158	32	6	6	night stand	night stand	Furniture	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	13	chest_of_drawers	2	occupied	occupied	2
178	moulding	molding	21		38	7	7		otherstructure	Objects	Objects					n02800354	baseboard.n.01	1	wall	2	occupied	occupied	2
179	handbag	handbag	21		40	7	7		otherprop	Objects	Objects					n02774152	bag.n.04	39	objects	2	occupied	occupied	2
180	wall /other room	wall /otherroom	21	21	1	12	12	wall	wall	Wall	Wall					n04546855	wall.n.01	1	wall	2	occupied	occupied	2
181	blanket	blanket	21	312	40	7	7	blanket	otherprop	Objects	Objects					n02849154	blanket.n.01	39	objects	2	occupied	occupied	2
182	shower	shower	21		38	7	7		otherstructure	Objects	Objects					n04208936	shower.n.01	23	shower	2	occupied	occupied	2
183	steps	step	20		38	7	7		otherstructure	Objects	Objects					n04314914	step.n.04	16	stairs	2	occupied	occupied	2
184	switch	switch	21		40	7	7		otherprop	Objects	Objects					n04372370	switch.n.01	39	objects	2	occupied	occupied	2
185	toilet paper dispenser	toilet paper dispenser	20		40	7	7		otherprop	Objects	Objects							40	misc	2	occupied	occupied	2
186	objects	object	21		40	7	7		otherprop	Objects	Objects					n00002684	object.n.01	39	objects	2	occupied	occupied	2
187	handle	handle	20	758	40	7	7	handle	otherprop	Objects	Objects					n03485997	handle.n.01	39	objects	2	occupied	occupied	2
188	frame /outside	frame /outside	20		38	7	7		otherstructure	Objects	Objects							40	misc	2	occupied	occupied	2
189	screen	screen	20	89	16	13	13	curtain	curtain	Window	Window	curtain				n03151077	curtain.n.01	12	curtain	2	occupied	occupied	2
190	shower head	showerhead	19	650	40	7	7	shower head	otherprop	Objects	Objects					n04209383	showerhead.n.01	23	shower	2	occupied	occupied	2
191	baracade	barricade	19		40	7	7		otherprop	Objects	Objects					n04096848	roadblock.n.02	40	misc	2	occupied	occupied	2
192	picture frame	picture frame	25	64	11	8	8	picture	picture	Picture	Picture					n03931765	picture_frame.n.01	6	picture	2	occupied	occupied	2
193	soap	soap	19	133	40	7	7	soap	otherprop	Objects	Objects					n04253437	soap.n.01	39	objects	2	occupied	occupied	2
194	staircase railing	banister	18	453	38	7	7	banister	otherstructure	Objects	Objects					n02788148	bannister.n.02	30	railing	2	occupied	occupied	2
195	keyboard	keyboard	18	47	40	7	7	keyboard	otherprop	Objects	Objects	keyboard		computer keyboard	3085013	n03085013	computer_keyboard.n.01	39	objects	2	occupied	occupied	2
196	thermostat	thermostat	18	110	40	7	7	thermostat	otherprop	Objects	Objects					n04422875	thermostat.n.01	39	objects	2	occupied	occupied	2
197	radiator	radiator	18	236	39	6	6	radiator	otherfurniture	Furniture	Furniture					n04041069	radiator.n.02	39	objects	2	occupied	occupied	2
